iter	MultiClass
0	0.9853676321
1	0.8966053113
2	0.8249273669
3	0.7647708541
4	0.7134206127
5	0.6694065582
6	0.6301484813
7	0.5979110483
8	0.5694400233
9	0.5433394566
10	0.5195631991
11	0.4971438496
12	0.4778878223
13	0.4621173459
14	0.4465811467
15	0.4329360594
16	0.4202222452
17	0.4084400568
18	0.3980741176
19	0.3880137458
20	0.3793424037
21	0.3716184183
22	0.3638671156
23	0.3576037406
24	0.3515206811
25	0.3458224403
26	0.3406558774
27	0.3350288695
28	0.3311524624
29	0.3270152062
30	0.322821946
31	0.318690907
32	0.3154002378
33	0.3120708914
34	0.3098892891
35	0.3078062848
36	0.3058257411
37	0.3027763014
38	0.3008543796
39	0.2987145944
40	0.2960683736
41	0.2944721455
42	0.2931042493
43	0.2912094407
44	0.2894359776
45	0.287579934
46	0.2863833891
47	0.2850423129
48	0.284196757
49	0.2820591072
50	0.2809056782
51	0.2797032086
52	0.2785690245
53	0.2777330019
54	0.2768482449
55	0.2757212265
56	0.2745896086
57	0.2728365125
58	0.2719848029
59	0.2710712007
60	0.2703491975
61	0.2693971009
62	0.2689460734
63	0.2686005853
64	0.2679020149
65	0.2672413851
66	0.2664609788
67	0.2657134578
68	0.2651006758
69	0.2643895195
70	0.2637676587
71	0.2632321698
72	0.2626039392
73	0.2621216353
74	0.2614303201
75	0.2610521198
76	0.2607254256
77	0.2601427286
78	0.259375358
79	0.2588536991
80	0.2582887234
81	0.2577543152
82	0.2570406604
83	0.2564498394
84	0.2556863378
85	0.2552882138
86	0.2545787109
87	0.2540847179
88	0.2536242013
89	0.25335503
90	0.2530667671
91	0.2524587578
92	0.2518788707
93	0.2513757158
94	0.2507070969
95	0.2503613022
96	0.2498329283
97	0.2492479168
98	0.2489193181
99	0.2484595144
100	0.2480191565
101	0.2474647964
102	0.247130922
103	0.2467821236
104	0.2463429994
105	0.2459976308
106	0.2456454212
107	0.2452118355
108	0.24472112
109	0.2444014443
110	0.2438532945
111	0.2435834252
112	0.2430862089
113	0.2428561866
114	0.2423752009
115	0.2421316838
116	0.2418028952
117	0.2414324269
118	0.2411227191
119	0.2407727126
120	0.2403400577
121	0.2401703488
122	0.2395460551
123	0.2390871912
124	0.2387427511
125	0.2385580365
126	0.238230161
127	0.2378171898
128	0.2375215254
129	0.2371538322
130	0.2367909292
131	0.2364996088
132	0.2361556181
133	0.2358545302
134	0.2355783192
135	0.2350857911
136	0.2348231216
137	0.2346597279
138	0.2341187182
139	0.2337399829
140	0.2334486602
141	0.233058548
142	0.2327477205
143	0.2324638308
144	0.2321454229
145	0.2315750387
146	0.2312740148
147	0.2311530264
148	0.230905436
149	0.2305829442
150	0.2302646
151	0.230014654
152	0.229570667
153	0.2291743678
154	0.2287053976
155	0.2284005453
156	0.2280299623
157	0.227845161
158	0.2276977888
159	0.227482806
160	0.2272115495
161	0.2269503429
162	0.226783651
163	0.2264522827
164	0.2262651865
165	0.2259973739
166	0.2256936613
167	0.2255198648
168	0.2253429226
169	0.2251585649
170	0.224935718
171	0.2246923713
172	0.2243688787
173	0.2240444861
174	0.2237891991
175	0.2236098684
176	0.2234716958
177	0.2232024041
178	0.2229945514
179	0.2227910705
180	0.2225095278
181	0.2223387241
182	0.2220146015
183	0.2218135898
184	0.2214479151
185	0.2213019667
186	0.2211760016
187	0.2209436826
188	0.2206072103
189	0.2204460129
190	0.2201339075
191	0.2197919629
192	0.2194748566
193	0.2190817422
194	0.218760552
195	0.2185896639
196	0.2183308776
197	0.2181193103
198	0.2179565654
199	0.2175889471
200	0.2172492039
201	0.2168481448
202	0.2166119682
203	0.2162857372
204	0.2159375002
205	0.2156755054
206	0.215437023
207	0.2152256629
208	0.2149178124
209	0.2146549135
210	0.2145051983
211	0.214386036
212	0.2140859917
213	0.2138944486
214	0.2137864712
215	0.2135290158
216	0.213294786
217	0.2131248201
218	0.2129380492
219	0.2127392086
220	0.2124915773
221	0.2123701061
222	0.2122988633
223	0.2121212329
224	0.2120039103
225	0.2117218279
226	0.211519924
227	0.2113964326
228	0.2111703713
229	0.2108905633
230	0.2106141806
231	0.210446226
232	0.2102347476
233	0.2100648234
234	0.2098514157
235	0.2096341104
236	0.2095042968
237	0.2093194509
238	0.2091085116
239	0.2089301892
240	0.2085300993
241	0.2082505314
242	0.2081204642
243	0.2079470611
244	0.2077975587
245	0.2076048033
246	0.2074914147
247	0.2071915615
248	0.2070114958
249	0.206849451
250	0.2067002907
251	0.2064487823
252	0.206269778
253	0.2061960284
254	0.2060536832
255	0.2057781881
256	0.2056030002
257	0.2054086272
258	0.2052707733
259	0.2051060372
260	0.2050469711
261	0.2049310796
262	0.2047238705
263	0.2045859826
264	0.2044447615
265	0.2042846592
266	0.2041664834
267	0.2038835179
268	0.2036536276
269	0.2034497816
270	0.2032872055
271	0.2030054507
272	0.2028646175
273	0.202651255
274	0.2024984549
275	0.2024040964
276	0.2022305243
277	0.2020938296
278	0.201861115
279	0.2016157532
280	0.2014931361
281	0.2013929498
282	0.2011628233
283	0.2008360746
284	0.2006223903
285	0.2004951474
286	0.2002823753
287	0.2000439924
288	0.1998270894
289	0.1997072969
290	0.1996254166
291	0.199432237
292	0.1993066083
293	0.1990602869
294	0.1988451622
295	0.1987508557
296	0.1985214996
297	0.1984345234
298	0.1982742875
299	0.1980554004
300	0.1978625908
301	0.1977170733
302	0.1976493117
303	0.1974420068
304	0.1973166365
305	0.1972360277
306	0.1970494482
307	0.1968863949
308	0.1966876131
309	0.1965762202
310	0.1964464478
311	0.1963222466
312	0.1960231658
313	0.1958472525
314	0.1955596421
315	0.1953619561
316	0.1952531163
317	0.1951090473
318	0.1948498134
319	0.1947257618
320	0.1944744409
321	0.1942223412
322	0.1940517482
323	0.1938247814
324	0.193743103
325	0.1936205572
326	0.1935222349
327	0.1933901861
328	0.1932214606
329	0.1930766508
330	0.1928791264
331	0.1927045114
332	0.1925287765
333	0.192353256
334	0.192202845
335	0.192009889
336	0.1918325334
337	0.1916542004
338	0.1913886907
339	0.191218615
340	0.1910194271
341	0.1909135171
342	0.1907487578
343	0.1906445893
344	0.1904906011
345	0.1903857038
346	0.1902283155
347	0.1901359744
348	0.1899818588
349	0.1898091341
350	0.1897235165
351	0.1895031237
352	0.1892998283
353	0.1890404038
354	0.1889258392
355	0.1888492968
356	0.1887855397
357	0.1886493544
358	0.1884444245
359	0.188280451
360	0.1880778892
361	0.1879465258
362	0.1878435065
363	0.1876850303
364	0.1875629443
365	0.1874805574
366	0.1873748015
367	0.1872380201
368	0.1870059938
369	0.1867487964
370	0.1866951782
371	0.1865117227
372	0.1864075157
373	0.1862569532
374	0.1861489091
375	0.1859318563
376	0.1858298842
377	0.1857365616
378	0.1855349647
379	0.1854298098
380	0.1853280649
381	0.185207089
382	0.1851162632
383	0.1849439358
384	0.1847538256
385	0.1845637102
386	0.1844111494
387	0.1842234935
388	0.1840491572
389	0.1839712031
390	0.1837748634
391	0.1836372024
392	0.1834500492
393	0.1833344547
394	0.1831635689
395	0.1829682088
396	0.182712936
397	0.182574915
398	0.1823728525
399	0.1822697138
400	0.1819365492
401	0.1818243074
402	0.1817202145
403	0.181611414
404	0.1814403691
405	0.1813222503
406	0.1812247527
407	0.1811349225
408	0.1809622394
409	0.1807844503
410	0.1806634573
411	0.180579831
412	0.1804415529
413	0.1802440817
414	0.1800315475
415	0.1798116894
416	0.1797197047
417	0.1795977268
418	0.1795104004
419	0.1794169798
420	0.1793096599
421	0.1791540647
422	0.1789340725
423	0.1788559988
424	0.1787198803
425	0.1784712557
426	0.1783763804
427	0.1782681399
428	0.1782170482
429	0.1781391911
430	0.1780081458
431	0.1778655402
432	0.177768717
433	0.177511989
434	0.177458087
435	0.1773132782
436	0.1771856295
437	0.1770051845
438	0.1768775885
439	0.1767635099
440	0.1767038276
441	0.1766046221
442	0.1764711772
443	0.1763609755
444	0.1761521269
445	0.1760091834
446	0.1759659407
447	0.1758380208
448	0.1757024454
449	0.1754999241
450	0.1753794594
451	0.1752794115
452	0.1751198455
453	0.1750020575
454	0.1748946322
455	0.1747168828
456	0.1745455968
457	0.174410719
458	0.1742730245
459	0.1741547568
460	0.174055089
461	0.173961825
462	0.1737834841
463	0.1736106338
464	0.1734589499
465	0.1734195095
466	0.173339514
467	0.1732318775
468	0.1731055307
469	0.1730637522
470	0.1729375726
471	0.1728780362
472	0.1727448641
473	0.1726547105
474	0.1725189513
475	0.172440043
476	0.1723141601
477	0.1721304471
478	0.1720025704
479	0.1719447208
480	0.1717986493
481	0.171642811
482	0.1715389332
483	0.1713734792
484	0.1712186303
485	0.1711283725
486	0.1709475696
487	0.1707694127
488	0.1706119168
489	0.1705473216
490	0.1704304274
491	0.1701442631
492	0.170048163
493	0.1698687577
494	0.1697282944
495	0.1696462658
496	0.1695501811
497	0.1693624459
498	0.1692498412
499	0.1690730813
500	0.1690341501
501	0.1689488727
502	0.1688326452
503	0.1687064171
504	0.168618301
505	0.1684605173
506	0.1683878744
507	0.1682688824
508	0.1681534085
509	0.1680812214
510	0.1679054975
511	0.1677394967
512	0.1676613363
513	0.1674618685
514	0.167397484
515	0.1672724672
516	0.1672186439
517	0.1671023422
518	0.166977795
519	0.1667902575
520	0.1666433513
521	0.1665623768
522	0.1663939568
523	0.1663431596
524	0.1662518198
525	0.1662191369
526	0.1661237668
527	0.1659482838
528	0.1657901792
529	0.1656225726
530	0.165413393
531	0.1651975811
532	0.1650887028
533	0.1649937077
534	0.1649054034
535	0.1648019193
536	0.1646525236
537	0.1646028516
538	0.1645287397
539	0.1644775069
540	0.1643609311
541	0.1641363145
542	0.1640101558
543	0.1638995965
544	0.1638028409
545	0.163746682
546	0.1635678955
547	0.1634219644
548	0.1632841103
549	0.1631833456
550	0.1630749324
551	0.1629924193
552	0.1629103831
553	0.1627791537
554	0.1627251611
555	0.1625921342
556	0.1624779459
557	0.1623845406
558	0.1622168318
559	0.1620932258
560	0.1619802402
561	0.1619301024
562	0.1617743218
563	0.1616005951
564	0.1614942504
565	0.1614243666
566	0.1612509042
567	0.1611243488
568	0.1610668977
569	0.1610171541
570	0.1608760796
571	0.1607566432
572	0.160626206
573	0.1604494721
574	0.1603502748
575	0.160252044
576	0.1602030295
577	0.1601476944
578	0.1599830966
579	0.1598592645
580	0.1597160468
581	0.1596527754
582	0.1595002475
583	0.1594495366
584	0.1593807565
585	0.1592467698
586	0.1591504278
587	0.1590357343
588	0.1589091854
589	0.1587640747
590	0.1586083267
591	0.1585229997
592	0.1584656796
593	0.1583710036
594	0.1582563322
595	0.1580925214
596	0.1579462481
597	0.1578815064
598	0.1577779186
599	0.1576978294
600	0.157576305
601	0.1574235724
602	0.1573228778
603	0.1572018508
604	0.1571538249
605	0.1570700399
606	0.1568932579
607	0.1567747413
608	0.1566719692
609	0.1564961672
610	0.1564087823
611	0.1563465854
612	0.1562488643
613	0.156191943
614	0.1561018312
615	0.1560095172
616	0.1559417857
617	0.1558302048
618	0.1557091658
619	0.1556634907
620	0.1556166672
621	0.1555000872
622	0.1554332241
623	0.1553861002
624	0.1552295984
625	0.1550926175
626	0.1549718434
627	0.1548988862
628	0.1548087752
629	0.1547180109
630	0.1545739317
631	0.1544181069
632	0.1543415043
633	0.1542412649
634	0.1541414824
635	0.1540517647
636	0.1538233291
637	0.1537360984
638	0.1536164357
639	0.1534714029
640	0.153349091
641	0.1532068186
642	0.1530221181
643	0.15296406
644	0.1528131987
645	0.1527131509
646	0.1525880918
647	0.1524520562
648	0.1523146883
649	0.1521020124
650	0.1519785267
651	0.1519109703
652	0.1517429455
653	0.1516560731
654	0.1515292916
655	0.1514455789
656	0.1512372156
657	0.1511527188
658	0.151079727
659	0.1509751431
660	0.1508830974
661	0.1507927223
662	0.1507357105
663	0.1505717508
664	0.1504534103
665	0.1503132442
666	0.1502601685
667	0.1501269334
668	0.1500029455
669	0.1499237944
670	0.1498104385
671	0.1497400503
672	0.1495041282
673	0.1493393278
674	0.1492293325
675	0.1491339334
676	0.1490224707
677	0.1489294085
678	0.1487471872
679	0.14868553
680	0.148622604
681	0.1485723023
682	0.148418671
683	0.1483306866
684	0.1482129383
685	0.1480795738
686	0.1479653486
687	0.1478621358
688	0.1477628545
689	0.1476880902
690	0.1475771065
691	0.1474384786
692	0.1473333356
693	0.1472330752
694	0.1471323397
695	0.1470436034
696	0.1469603515
697	0.1468594573
698	0.1466919142
699	0.1465352507
700	0.1463867234
701	0.1462717016
702	0.1461469185
703	0.1459586998
704	0.1457953531
705	0.145694872
706	0.1456031604
707	0.1454926708
708	0.1453476812
709	0.1452501472
710	0.1451698408
711	0.1450010226
712	0.1449404784
713	0.1448161167
714	0.1446745675
715	0.1445505414
716	0.1444138863
717	0.1443125787
718	0.1442064942
719	0.1441593068
720	0.1440716519
721	0.1439918892
722	0.1438962002
723	0.1437786337
724	0.1436657888
725	0.1435782854
726	0.143501578
727	0.1433873389
728	0.1432804154
729	0.1431804753
730	0.1431181869
731	0.1429830282
732	0.142935142
733	0.1427551521
734	0.1426665434
735	0.1424693579
736	0.142389948
737	0.1423398055
738	0.1422166524
739	0.1421226002
740	0.1420732294
741	0.141928541
742	0.1418643605
743	0.141768704
744	0.1417135489
745	0.1416276939
746	0.1415275888
747	0.1414488777
748	0.1413392109
749	0.1412720336
750	0.141119704
751	0.1410211144
752	0.1409846325
753	0.1408103128
754	0.1407163977
755	0.1406524414
756	0.1406022661
757	0.1404870624
758	0.1404108042
759	0.1402888828
760	0.1402559703
761	0.140176969
762	0.1400604325
763	0.1400189355
764	0.139952306
765	0.1398762801
766	0.1397785797
767	0.1397291888
768	0.1396892232
769	0.1396116166
770	0.1395827344
771	0.139464514
772	0.1393291649
773	0.1392795429
774	0.1391717264
775	0.1390648987
776	0.1389698645
777	0.1388633595
778	0.1386769572
779	0.1385961979
780	0.138496451
781	0.1383685192
782	0.1382836745
783	0.1381561657
784	0.1381019809
785	0.1380197407
786	0.1379673849
787	0.1379344894
788	0.137852279
789	0.1377330457
790	0.1376935759
791	0.1375093688
792	0.137486147
793	0.1374081479
794	0.1373694844
795	0.1371991618
796	0.1371272147
797	0.1369795593
798	0.1368961094
799	0.1368724634
800	0.1367912223
801	0.1366852073
802	0.1366044166
803	0.1365054232
804	0.1363997676
805	0.1363477408
806	0.1361679355
807	0.1360812239
808	0.1360203188
809	0.1359518432
810	0.1358852861
811	0.1357377138
812	0.1355901311
813	0.1355274474
814	0.1354580791
815	0.1353621201
816	0.135295247
817	0.1352161471
818	0.1351465589
819	0.1350134921
820	0.1349396048
821	0.1348039881
822	0.1347403103
823	0.1346160574
824	0.1344899065
825	0.1344355904
826	0.1343568693
827	0.1342942838
828	0.1341683604
829	0.1340130258
830	0.133928399
831	0.1338545187
832	0.1337896154
833	0.1337192133
834	0.13362626
835	0.1335912764
836	0.1334933474
837	0.1334105841
838	0.1333448146
839	0.1332194224
840	0.1331460595
841	0.133058994
842	0.1330065089
843	0.132886899
844	0.1327589038
845	0.1326854683
846	0.1325684277
847	0.1324696371
848	0.1323870622
849	0.1323156992
850	0.132241954
851	0.1321390565
852	0.1320642441
853	0.1319459741
854	0.1318878899
855	0.1318543543
856	0.1317736561
857	0.1316208091
858	0.1314809972
859	0.1313918083
860	0.1313440073
861	0.1312905167
862	0.1311826241
863	0.1310839176
864	0.1309916148
865	0.1308996907
866	0.1308621034
867	0.1307107258
868	0.1306661304
869	0.1305839479
870	0.13053486
871	0.130500205
872	0.1304366049
873	0.1303775608
874	0.1302994402
875	0.1302539657
876	0.1302130142
877	0.1301406336
878	0.130051405
879	0.1299496802
880	0.1298384592
881	0.1296975058
882	0.1296023238
883	0.129540076
884	0.1294660445
885	0.1294009501
886	0.1293318144
887	0.1292704822
888	0.1292047227
889	0.1291329974
890	0.1290717114
891	0.1289573722
892	0.1289059575
893	0.1288498554
894	0.1287689664
895	0.1287350108
896	0.12862485
897	0.128514091
898	0.1283920796
899	0.1283102023
900	0.128242578
901	0.1281329638
902	0.1280396895
903	0.1279978629
904	0.1279693029
905	0.1278666328
906	0.1277157179
907	0.127685346
908	0.1275712631
909	0.1274616435
910	0.1273378032
911	0.1271769738
912	0.1271365489
913	0.1270828684
914	0.1270155392
915	0.1269142906
916	0.1268306448
917	0.1267194036
918	0.1266767339
919	0.1265817254
920	0.1265310431
921	0.1264732257
922	0.1263418486
923	0.126251671
924	0.1261611218
925	0.1260971104
926	0.1260506135
927	0.1259007832
928	0.1258545705
929	0.1257860391
930	0.1256341857
931	0.1255339667
932	0.1254610653
933	0.1254049833
934	0.1253112035
935	0.1252108695
936	0.1251658262
937	0.1250612121
938	0.1249446914
939	0.1248583656
940	0.1247837035
941	0.1247093312
942	0.1246324086
943	0.1245791598
944	0.1244549372
945	0.1243675494
946	0.1243314257
947	0.124206831
948	0.1240941747
949	0.1239721557
950	0.1239297627
951	0.123846289
952	0.123767005
953	0.1236998493
954	0.1235819565
955	0.1234588899
956	0.1234006823
957	0.1233761549
958	0.1233162833
959	0.1232907762
960	0.1232565388
961	0.1232001719
962	0.1231542448
963	0.1230913119
964	0.1229086926
965	0.12282858
966	0.1227945283
967	0.1227249024
968	0.1226582893
969	0.122597105
970	0.1225592575
971	0.1224879224
972	0.1224299792
973	0.1223677691
974	0.1222457002
975	0.1221719927
976	0.1221372928
977	0.122076569
978	0.1220275751
979	0.1219791244
980	0.1219018649
981	0.1218204876
982	0.1217301614
983	0.1216288086
984	0.1215516556
985	0.1214847156
986	0.1214516208
987	0.1213622901
988	0.1212757838
989	0.1211498842
990	0.1210431701
991	0.1210089129
992	0.1209752378
993	0.1208084192
994	0.1207414175
995	0.1206887729
996	0.1206478913
997	0.1205742435
998	0.1205015744
999	0.1204122338
