iter	Passed	Remaining
0	81	81184
1	94	47206
2	109	36320
3	121	30284
4	134	26771
5	147	24377
6	160	22763
7	174	21611
8	189	20846
9	204	20282
10	218	19655
11	234	19290
12	250	18997
13	266	18783
14	282	18582
15	297	18325
16	314	18180
17	332	18130
18	345	17845
19	358	17574
20	371	17331
21	384	17105
22	398	16930
23	411	16741
24	426	16634
25	444	16661
26	461	16617
27	475	16516
28	490	16420
29	504	16301
30	517	16174
31	530	16052
32	546	16023
33	562	15968
34	577	15913
35	596	15971
36	610	15879
37	623	15771
38	637	15716
39	659	15821
40	674	15768
41	693	15815
42	707	15753
43	723	15719
44	740	15722
45	756	15691
46	769	15600
47	782	15520
48	795	15432
49	808	15370
50	822	15300
51	838	15284
52	851	15220
53	866	15177
54	878	15102
55	892	15038
56	905	14972
57	922	14986
58	937	14958
59	954	14958
60	974	14993
61	993	15028
62	1012	15053
63	1027	15028
64	1041	14986
65	1053	14914
66	1071	14923
67	1092	14979
68	1112	15005
69	1133	15062
70	1152	15075
71	1171	15094
72	1186	15070
73	1203	15056
74	1220	15051
75	1235	15024
76	1249	14977
77	1263	14931
78	1276	14881
79	1292	14865
80	1306	14817
81	1319	14776
82	1333	14732
83	1351	14737
84	1368	14727
85	1384	14719
86	1405	14751
87	1418	14704
88	1432	14661
89	1447	14632
90	1459	14582
91	1473	14546
92	1490	14534
93	1504	14502
94	1519	14473
95	1532	14427
96	1548	14419
97	1563	14391
98	1580	14381
99	1594	14352
100	1611	14340
101	1629	14347
102	1649	14362
103	1663	14334
104	1678	14307
105	1691	14269
106	1706	14244
107	1720	14209
108	1733	14166
109	1744	14116
110	1764	14130
111	1779	14110
112	1792	14074
113	1805	14030
114	1820	14010
115	1841	14031
116	1856	14013
117	1872	13999
118	1895	14031
119	1912	14022
120	1931	14030
121	1945	13998
122	1959	13968
123	1973	13938
124	1987	13913
125	2004	13906
126	2025	13920
127	2045	13932
128	2064	13941
129	2082	13934
130	2104	13961
131	2124	13971
132	2140	13953
133	2156	13936
134	2171	13913
135	2187	13900
136	2202	13876
137	2218	13855
138	2239	13872
139	2261	13894
140	2281	13899
141	2296	13878
142	2315	13875
143	2330	13856
144	2346	13837
145	2362	13819
146	2378	13799
147	2393	13776
148	2408	13753
149	2425	13743
150	2443	13740
151	2465	13756
152	2482	13743
153	2504	13761
154	2522	13752
155	2539	13740
156	2554	13715
157	2566	13677
158	2580	13646
159	2595	13624
160	2608	13590
161	2621	13559
162	2633	13523
163	2651	13517
164	2666	13494
165	2681	13474
166	2699	13464
167	2719	13469
168	2735	13451
169	2750	13428
170	2766	13410
171	2785	13409
172	2797	13374
173	2811	13345
174	2825	13318
175	2838	13287
176	2850	13255
177	2866	13237
178	2880	13211
179	2896	13195
180	2916	13194
181	2928	13162
182	2945	13151
183	2958	13120
184	2972	13096
185	2993	13099
186	3007	13073
187	3020	13047
188	3034	13022
189	3056	13031
190	3071	13007
191	3083	12977
192	3096	12947
193	3116	12946
194	3136	12949
195	3152	12932
196	3167	12912
197	3183	12893
198	3200	12882
199	3214	12858
200	3232	12849
201	3246	12826
202	3260	12799
203	3273	12773
204	3287	12747
205	3299	12718
206	3319	12717
207	3339	12717
208	3355	12698
209	3370	12678
210	3383	12652
211	3396	12626
212	3413	12613
213	3431	12602
214	3445	12580
215	3458	12552
216	3470	12524
217	3489	12515
218	3501	12488
219	3516	12468
220	3531	12448
221	3547	12431
222	3564	12420
223	3582	12409
224	3596	12386
225	3613	12377
226	3629	12358
227	3644	12338
228	3658	12318
229	3673	12297
230	3686	12272
231	3699	12247
232	3716	12235
233	3734	12226
234	3750	12208
235	3766	12193
236	3784	12184
237	3798	12162
238	3817	12156
239	3832	12134
240	3850	12125
241	3864	12106
242	3880	12087
243	3898	12078
244	3911	12054
245	3925	12031
246	3940	12013
247	3957	12000
248	3977	11996
249	3993	11979
250	4008	11962
251	4023	11942
252	4038	11922
253	4052	11901
254	4064	11876
255	4084	11869
256	4098	11848
257	4112	11826
258	4128	11812
259	4142	11790
260	4154	11762
261	4166	11736
262	4180	11713
263	4193	11691
264	4207	11669
265	4224	11658
266	4240	11642
267	4257	11629
268	4275	11617
269	4291	11602
270	4305	11580
271	4321	11567
272	4338	11553
273	4354	11536
274	4379	11546
275	4392	11521
276	4407	11504
277	4422	11485
278	4436	11464
279	4450	11445
280	4464	11422
281	4477	11399
282	4490	11376
283	4507	11363
284	4521	11342
285	4533	11317
286	4546	11295
287	4560	11274
288	4573	11252
289	4591	11241
290	4604	11219
291	4618	11197
292	4634	11183
293	4651	11169
294	4673	11169
295	4687	11148
296	4702	11131
297	4718	11114
298	4732	11096
299	4750	11084
300	4772	11081
301	4785	11059
302	4798	11038
303	4816	11028
304	4830	11008
305	4847	10994
306	4866	10984
307	4882	10970
308	4898	10953
309	4918	10946
310	4939	10942
311	4957	10931
